Date,AM12,AM1,AM2,AM3,AM4,AM5,AM6,AM7,AM8,AM9,AM10,AM11,PM12,PM1,PM2,PM3,PM4,PM5,PM6,PM7,PM8,PM9,PM10,PM11
6/6/98,23133,20947,19850,19184,18721,18666,18932,19687,21262,23231,24777,25793,25888,25613,25231,24761,24782,24750,24746,24518,24038,24499,25161,23797
6/7/98,21787,20088,18913,18144,17952,17974,17782,17943,19149,20995,22548,23383,23771,24005,23703,23437,23284,23427,23692,23592,23782,24615,25268,23625
6/8/98,21451,20064,19301,19019,18944,19212,20946,23640,26722,28232,29336,30005,30334,30398,30350,30046,29791,29779,29311,28617,27930,28368,28637,26148
6/9/98,23397,21359,20201,19828,19628,19985,21114,24088,27162,28890,29930,30748,31072,31109,31471,31246,31025,30697,30230,29247,28614,29086,28972,26328
6/10/98,23650,21718,20580,20129,19851,20112,21554,24333,27437,29026,30024,30807,31196,31326,31290,31210,31008,30904,30487,29482,28925,29447,29072,26586
6/11/98,23925,22107,20841,20377,20124,20315,21786,24553,27464,29499,30339,30860,31118,31361,31310,31262,31167,30899,30768,29986,29480,29768,29532,27386
6/12/98,24525,22444,21585,20925,20662,20882,22409,24966,27841,30232,31282,31994,32342,32378,32092,32095,31445,31137,30969,30373,29839,29828,29709,28019
6/13/98,26002,23707,22165,21164,20666,20336,20802,21367,23139,25566,27737,29153,29548,29320,29329,29114,28767,28220,27796,27182,26773,26873,27208,25736
6/14/98,23688,21917,20630,19683,19062,19119,19092,19206,20465,22415,24138,25461,26351,26677,26780,26728,26895,27281,27468,27330,27046,27596,28505,27126
6/15/98,24729,22556,21390,20877,20571,20706,21955,24483,27867,30177,31571,32421,33003,33252,33524,33651,33692,33894,33778,32772,32266,32180,32212,29793
6/16/98,26716,24630,23034,22365,21945,22109,23509,26305,29454,31890,33752,34960,36157,37056,37663,38268,38636,39080,39192,38072,36468,35982,35309,32087
6/17/98,28846,25860,24186,23219,22705,22708,23832,26477,29738,32173,33920,35286,36189,36951,37472,37810,38003,38066,37718,36516,35521,34951,35227,32390
6/18/98,29069,26251,24482,23486,22894,22962,24033,26697,30092,32935,35015,36307,37262,38036,38504,38861,39163,38937,38548,37521,36228,35602,35840,33119
6/19/98,29752,26750,24934,23872,23055,23173,24103,26619,29901,32893,34727,35942,36563,37201,37950,38384,38705,38643,38127,36563,35238,34710,34867,32755
6/20/98,29949,27146,25379,24256,23377,23113,23331,23646,25791,29018,31757,34699,35917,36507,37053,37283,37597,37796,37242,36307,35103,34604,34598,32620
6/21/98,30227,27246,25689,24205,23259,22637,22376,22433,24327,27187,29969,32412,34260,35336,36250,36677,36835,36962,36943,36009,35007,34860,35316,33421
6/22/98,30617,27920,26262,25490,25022,25126,26394,28918,31764,34115,35327,36201,36843,37163,37662,37682,37806,37605,36974,35839,35030,34975,34872,32280
6/23/98,29612,26861,25324,24465,23900,24094,25547,28051,30666,33277,34597,35943,36904,37526,37874,38233,38200,38712,38548,37640,36637,36542,35716,33016
6/24/98,29943,27329,25553,24831,24163,24425,25705,27957,30844,33586,35335,36949,38360,39047,40356,41204,42182,42705,43039,41891,40772,39883,39704,37375
